,Title,Released,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
59,28 Days,"Apr 14, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",1 win.,PG-13,103 min,"Comedy, Drama",46,6.0,"42,107",tt0191754,
60,Bounce,"Nov 17, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",2 wins & 2 nominations.,PG-13,106 min,"Drama, Romance",52,5.7,"19,491",tt0186894,2
61,Hanging Up,"Feb 18, 2000","[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",2 wins & 1 nomination.,PG-13,94 min,"Comedy, Drama",33,4.9,"11,478",tt0162983,
62,The Flintstones in Viva Rock Vegas,"Apr 28, 2000","[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",1 win & 9 nominations.,PG,90 min,"Comedy, Family, Romance, Sci-Fi",27,3.6,"20,246",tt0158622,9
63,The Skulls,"Mar 31, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",1 nomination.,PG-13,106 min,"Action, Crime, Drama, Thriller",24,5.6,"30,039",tt0192614,
64,Thirteen Days,"Dec 22, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",3 wins & 7 nominations.,PG-13,145 min,"Drama, History, Thriller",67,7.3,"51,890",tt0146309,7
65,The 6th Day,"Nov 17, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",8 nominations.,PG-13,123 min,"Action, Mystery, Sci-Fi, Thriller",49,5.9,"113,004",tt0216216,8
66,Where the Heart Is,"Apr 28, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",1 win & 2 nominations.,PG-13,120 min,"Comedy, Drama, Romance",30,6.8,"30,753",tt0198021,2
67,Pay it Forward,"Oct 20, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",1 win & 4 nominations.,PG-13,123 min,Drama,40,7.2,"109,038",tt0223897,4
68,Dracula 2000,"Dec 22, 2000","[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Metacritic', 'Value': '26/100'}]",1 nomination.,R,99 min,"Action, Fantasy, Horror, Thriller",26,4.8,"31,036",tt0219653,
69,Return to Me,"Apr 7, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",1 win & 2 nominations.,PG,115 min,"Comedy, Drama, Romance",54,6.9,"18,837",tt0122459,2
70,Proof of Life,"Dec 8, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",5 nominations.,R,135 min,"Action, Drama, Thriller",45,6.2,"53,669",tt0228750,5
71,Almost Famous,"Sep 15, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",Won 1 Oscar. Another 52 wins & 103 nominations.,R,122 min,"Adventure, Comedy, Drama, Music",90,7.9,"241,137",tt0181875,103
72,The Legend of Bagger Vance,"Nov 3, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",2 wins & 11 nominations.,PG-13,126 min,"Drama, Fantasy, Sport",47,6.7,"51,654",tt0146984,11
73,The Art of War,"Aug 25, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",2 wins & 9 nominations.,R,117 min,"Action, Adventure, Crime, Thriller",30,5.7,"27,808",tt0160009,9
74,Bless the Child,"Aug 11, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '17/100'}]",1 win & 6 nominations.,R,107 min,"Crime, Drama, Horror, Thriller",17,5.1,"13,482",tt0163983,6
75,The Watcher,"Sep 8, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",1 nomination.,R,97 min,"Crime, Drama, Mystery, Thriller",22,5.3,"24,720",tt0204626,
76,High Fidelity,"Mar 31, 2000","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",Nominated for 1 Golden Globe. Another 3 wins & 21 nominations.,R,113 min,"Comedy, Drama, Music, Romance",79,7.5,"160,923",tt0146882,21
77,Book of Shadows: Blair Witch 2,"Oct 27, 2000","[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '15/100'}]",2 wins & 8 nominations.,R,90 min,"Adventure, Fantasy, Horror, Mystery, Thriller",15,3.9,"34,506",tt0229260,8
78,The Adventures of Rocky & Bullwinkle,"Jun 30, 2000","[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",2 wins & 6 nominations.,PG,92 min,"Animation, Adventure, Comedy, Family, Fantasy",36,4.1,"18,696",tt0131704,6
79,Nurse Betty,"Sep 8, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",Won 1 Golden Globe. Another 4 wins & 14 nominations.,R,110 min,"Comedy, Crime, Drama, Romance",69,6.1,"32,262",tt0171580,14
80,Reindeer Games,"Feb 25, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",3 nominations.,R,104 min,"Action, Adventure, Crime, Drama, Thriller",37,5.8,"36,106",tt0184858,3
81,Titan A.E.,"Jun 16, 2000","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",1 win & 6 nominations.,PG,94 min,"Animation, Action, Adventure, Family, Sci-Fi",48,6.6,"57,250",tt0120913,6
82,Boys and Girls,"Jun 16, 2000","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",N/A,PG-13,94 min,"Comedy, Drama, Romance",29,5.4,"15,429",tt0204175,
83,Battlefield Earth,"May 12, 2000","[{'Source': 'Internet Movie Database', 'Value': '2.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '9/100'}]",19 wins & 3 nominations.,PG-13,118 min,"Action, Adventure, Sci-Fi",9,2.5,"74,057",tt0185183,3
