Unnamed: 0,Released,Title,Source,Production Budget,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations,trailer ids,max viewcount,Infl. Adj. Production Budget,Infl. Adj. International Box Office,Infl. Adj. Worldwide Box Office,Infl. Adj. Opening Weekend Revenue,Genre
33,"Jul 7, 2000",The Kid,Original Screenplay,65000000,12687726,69688384,117785003,0,69688384,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",2 wins.,Not Rated,68 min,"Comedy, Drama, Family",,8.3,"103,044",tt0012349,,['nTlUxNzt5Kw'],325672.0,109860851,0,117785003,21444375,Comedy
34,"May 19, 2000",Road Trip,Original Screenplay,16000000,15484004,68525609,115819721,51213501,119739110,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",4 wins & 9 nominations.,R,93 min,Comedy,55.0,6.4,"152,165",tt0215129,9.0,['RXmANh0-2Bg'],1929200.0,27042671,86559367,202379088,26170552,Comedy
35,"Dec 8, 2000",Vertical Limit,Original Screenplay,75000000,15507845,68473360,114393550,145026640,213500000,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,PG-13,124 min,"Action, Adventure, Drama, Thriller",48.0,5.9,"56,381",tt0190865,3.0,['WrTFoBHRSxA'],,125297141,242285645,356679195,25907848,Action
36,"Nov 22, 2000",102 Dalmatians,Based on Fiction Book/Short Story,85000000,19883351,66941559,112448565,0,66941559,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",Nominated for 1 Oscar. Another 1 win & 6 nominations.,G,100 min,"Adventure, Comedy, Family",35.0,4.9,"33,011",tt0211181,6.0,['7wOwplmoZlg'],69636.0,142783170,0,112448565,33400092,Comedy
37,"Apr 7, 2000",Rules of Engagement,Based on Fiction Book/Short Story,60000000,15011181,61322858,103645864,10397073,71719931,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",1 win & 2 nominations.,R,128 min,"Drama, Thriller, War",45.0,6.4,"42,813",tt0160797,2.0,['usKVcBTxkfk'],417509.0,101410013,17572788,121218652,25371401,Action
38,"Aug 18, 2000",The Cell,Original Screenplay,35000000,17515050,61280963,103575052,24630263,85911226,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",Nominated for 1 Oscar. Another 6 wins & 24 nominations.,R,107 min,"Horror, Sci-Fi, Thriller",40.0,6.3,"91,999",tt0209958,24.0,['VvYJkD2nWco'],56470.0,59155839,41629253,145204305,29603356,Horror
39,"Mar 10, 2000",Mission to Mars,Original Screenplay,90000000,22855247,60874615,102888258,45125385,106000000,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Metacritic', 'Value': '34/100'}]",2 nominations.,PG,114 min,"Adventure, Sci-Fi, Thriller",34.0,5.7,"68,308",tt0183523,2.0,['xwcI3fkKeiw'],17791.0,152115019,76269431,179157689,38629181,Science Fiction
40,"Aug 4, 2000",Coyote Ugly,Based on Real Life Events,45000000,17319282,60786269,102738936,53130205,113916474,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",4 wins & 8 nominations.,PG-13,100 min,"Comedy, Drama, Music, Romance",27.0,5.7,"102,846",tt0200550,8.0,['2lqWOOHOwlE'],3751430.0,76057507,89798910,192537846,29272476,Comedy
41,"Feb 18, 2000",The Whole Nine Yards,Original Screenplay,24000000,15915676,57262492,96783164,28265375,85527867,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",5 nominations.,R,98 min,"Comedy, Crime",47.0,6.7,"105,772",tt0190138,5.0,['671bZc4jX7g'],98052.0,40564003,47773198,144556362,26900147,Comedy
42,"May 26, 2000",Shanghai Noon,Original Screenplay,55000000,19647065,56932305,96225095,14257530,71189835,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",1 win & 7 nominations.,PG-13,110 min,"Action, Adventure, Comedy, Western",77.0,6.5,"114,518",tt0184894,7.0,['FqHg5fc_0_U'],44969.0,92959177,24097604,120322699,33206818,Adventure
43,"Mar 22, 2000",Romeo Must Die,Original Screenplay,25000000,18014503,55973336,94604280,35063424,91036760,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",2 wins & 7 nominations.,R,115 min,"Action, Crime, Thriller",52.0,6.1,"64,572",tt0165929,7.0,"['_6QajoX9t2o', 'rpy4lGGlDOA']",188840.0,42254172,59263038,153867318,30447516,Action
44,"Mar 17, 2000",Final Destination,Original Screenplay,23000000,10015822,53302314,90089810,58734556,112036870,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",3 wins & 3 nominations.,R,98 min,"Horror, Thriller",36.0,6.7,"218,133",tt0195714,3.0,"['pna8QJDfJUE', 'lP4Psj7d1ZI']",848927.0,38873840,99271205,189361015,16928411,Horror
45,"Dec 19, 2000",Finding Forrester,Original Screenplay,43000000,701207,51768623,83751154,28245000,80013623,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",5 wins & 13 nominations.,PG-13,136 min,Drama,62.0,7.3,"80,037",tt0181536,13.0,['8QGCBH_2Dck'],47041.0,69565296,45694693,129445847,1134411,Drama
46,"Mar 31, 2000",The Road to El Dorado,Original Screenplay,95000000,12846652,50802661,85864975,14897339,65700000,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",1 win & 12 nominations.,PG,89 min,"Animation, Adventure, Comedy, Family, Romance",51.0,6.9,"78,427",tt0138749,12.0,['JcOfJwN0bdY'],1332099.0,160565853,25178988,111043963,21712985,Adventure
