,title,ratings,awards,rated,runtime,genere,metascore,imdbRating,imdbVotes,imdbID,nominations
173,Marmaduke,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",3 nominations.,PG,87 min,"Comedy, Family",30.0,4.2,"13,650",tt1392197,3
174,Hereafter,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",Nominated for 1 Oscar. Another 4 wins & 14 nominations.,PG-13,129 min,"Drama, Fantasy, Romance",56.0,6.4,"88,463",tt1212419,14
175,She's Out of My League,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",1 nomination.,R,104 min,"Comedy, Romance",46.0,6.4,"120,003",tt0815236,
176,Scott Pilgrim vs. The World,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",17 wins & 64 nominations.,PG-13,112 min,"Action, Comedy, Fantasy, Romance",69.0,7.5,"351,334",tt0446029,64
177,Charlie St. Cloud,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",4 nominations.,PG-13,99 min,"Drama, Fantasy, Romance",37.0,6.4,"56,368",tt1438254,4
178,Morning Glory,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",1 win & 3 nominations.,PG-13,107 min,"Comedy, Drama, Romance",57.0,6.5,"69,704",tt1126618,3
179,How Do You Know?,[],,,8 min,"Short, History",,,,tt3753388,
180,Daybreakers,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",3 wins & 6 nominations.,R,98 min,"Action, Fantasy, Horror, Sci-Fi, Thriller",57.0,6.4,"118,853",tt0433362,6
181,The Switch,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",1 win & 2 nominations.,PG-13,101 min,"Comedy, Drama, Romance",52.0,6.1,"92,832",tt0889573,2
182,Brooklyn's Finest,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",1 win & 10 nominations.,R,132 min,"Crime, Drama, Thriller",43.0,6.7,"59,034",tt1210042,10
